,LT_CAGR,WACC,2019_CAGR,Decay,Price,Equity,EV,Rate
1,0.0149,0.0819,0.4499,-1.29,6.67,302.8257289,521.9913461,0.075525262
2,0.0195,0.0751,0.423,-1.18,8.31,377.412956,596.5785732,0.081500028
3,0.0217,0.0684,0.4024,-0.99,11.21,508.9062367,728.0718538,0.098951542
4,0.0173,0.0668,0.4323,-1.26,8.99,407.861146,627.0267632,0.075351796
5,0.0175,0.0548,0.472,-1.34,12.43,564.3634679,783.5290851,0.074470891
6,0.0186,0.0733,0.4209,-1.53,6.55,297.3783435,516.5439606,0.052970918
7,0.0189,0.0632,0.4569,-1.41,9.61,436.3959253,655.5615425,0.06625243
8,0.0217,0.0692,0.4036,-1.47,7.64,346.6841512,565.8497684,0.054562034
9,0.0211,0.0802,0.4708,-1.46,7.1,322.2721277,541.4377448,0.064267871
10,0.0204,0.074,0.4707,-1.44,7.97,361.8278906,580.9935078,0.065809023
11,0.0217,0.0727,0.4965,-0.99,13.36,606.4408664,825.6064835,0.121821699
12,0.0158,0.0643,0.4288,-1.14,10.03,455.1859372,674.3515544,0.086885614
13,0.0193,0.0758,0.4244,-1.05,9.26,420.2488818,639.414499,0.096496349
14,0.0215,0.0708,0.448,-1.2,9.9,449.1794823,668.3450995,0.084115586
15,0.0202,0.0634,0.4583,-1.18,11.79,535.2902674,754.4558846,0.088214056
16,0.0187,0.0674,0.4527,-1.17,10.38,470.9981094,690.1637266,0.088254986
17,0.0188,0.0692,0.5032,-1.16,11.47,520.7658409,739.9314581,0.099210638
18,0.0182,0.0792,0.4583,-1.13,8.7,394.9443921,614.1100092,0.093974739
19,0.0217,0.077,0.3904,-1.46,6.28,285.2174809,504.383098,0.053433296
20,0.0173,0.0692,0.4075,-1.03,9.78,444.072199,663.2378162,0.095119734
21,0.0223,0.0761,0.3746,-1.16,7.67,348.1196753,567.2852925,0.074118753
22,0.024,0.0652,0.5049,-1.27,12.83,582.1850977,801.3507149,0.086737887
23,0.0186,0.0768,0.4752,-1.32,8.07,366.1483044,585.3139216,0.076825621
24,0.0226,0.0617,0.3888,-1.16,11.18,507.4581961,726.6238133,0.076897394
25,0.0162,0.067,0.5159,-1.27,10.59,480.6835901,699.8492072,0.088599436
26,0.0193,0.0684,0.3965,-1.27,8.23,373.4833319,592.648949,0.068334778
27,0.0177,0.0825,0.4682,-1.12,8.49,385.5707391,604.7363563,0.097208729
28,0.0184,0.085,0.4148,-1.34,5.89,267.3847201,486.5503373,0.065561869
29,0.0219,0.069,0.5447,-1.12,14.12,641.0892482,860.2548654,0.112868034
30,0.0208,0.0852,0.4146,-1.2,6.85,311.0838126,530.2494298,0.077918712
31,0.0241,0.0734,0.4804,-1.5,8.58,389.4149636,608.5805807,0.062514339
32,0.0184,0.0695,0.4498,-1.06,10.88,493.6385235,712.8041407,0.100897069
33,0.0191,0.0696,0.3929,-1.15,8.68,394.054372,613.2199892,0.078687487
34,0.0167,0.0779,0.476,-1.58,6.37,289.2467814,508.4123986,0.056393919
35,0.0171,0.0645,0.5181,-1.26,11.51,522.3869766,741.5525938,0.090081577
36,0.0203,0.0533,0.4694,-1.37,13.77,624.9176184,844.0832356,0.071410017
37,0.0231,0.0621,0.4673,-1.31,12.08,548.4960885,767.6617056,0.07649937
38,0.0195,0.0687,0.4982,-1.15,11.73,532.2093703,751.3749875,0.099489668
39,0.0216,0.0776,0.4363,-1.12,9.05,410.7849989,629.9506161,0.090662392
